년도,시군명,전체온실가스배출량,대상업체및사업장통계,통계업종
2015,수원시,12085212,7,"비철금속, 석유화학, 음식료품, 자동차, 전기전자, 제지, 폐기물"
2015,시흥시,1423864,15,"교통(여객), 기계, 반도체, 반도체.디스플레이.전기전자, 발전에너지, 비철금속, 산업단지, 석유화학, 섬유, 유리 · 요업, 음식료품, 자동차, 전기전자, 제지, 집단에너지, 폐기물"
2015,안산시,6350842,36,"전기전자, 철강"
2015,안성시,116403,2,"폐기물, 교통(여객), 석유화학, 폐기물"
2015,안양시,2394670,4,"발전에너지, 폐기물"
2015,양주시,534041,2,음식료품
2015,여주시,50581,1,"제지, 석유화학"
2015,오산시,1351391,3,"전기전자, 폐기물, 석유화학, 제지"
2015,용인시,6473669,4,폐기물
2015,의정부시,88388,1,폐기물
2015,이천시,4488020,1,"폐기물, 유리 · 요업, 통신"
2015,파주시,4823291,3,"비철금속, 섬유, 요업, 유리, 음식료품, 자동차, 제지, 폐기물"
2015,평택시,2917486,16,발전에너지
2015,포천시,2550629,1,제지
2015,하남시,1825488,1,"교통(여객), 석유화학, 폐기물"
2015,화성시,891719,4,통계 업종
2014,고양시,247921,1,"섬유, 석유화학"
2014,과천시,698331,3,"폐기물, 집단에너지"
2014,광명시,155757,2,"건물, 교통(여객)"
2014,광주시,365878,3,폐기물
2014,구리시,81544,1,"폐기물, 섬유, 제지, 반도체.디스플레이.전기전자, 자동차"
2014,군포시,131412,5,
2014,김포시,79074,0,음식료품
2014,남양주시,348648,1,"폐기물, 발전에너지"
2014,동두천시,2107264,2,폐기물
2014,부천시,337034,1,"교통(화물), 비철금속, 음식료품, 전기전자, 조선, 집단에너지, 철강, 통신, 폐기물"
2014,성남시,8294836,13,"폐기물, 석유화학, 전기전자, 반도체, 건물"
2014,수원시,12085212,6,"비철금속, 석유화학, 음식료품, 자동차, 전기전자, 제지, 폐기물"
2014,시흥시,1423864,14,"교통(여객), 기계, 반도체, 반도체.디스플레이.전기전자, 발전에너지, 비철금속, 산업단지, 석유화학, 섬유, 유리, 유리 · 요업, 음식료품, 자동차, 전기전자, 제지, 집단에너지, 폐기물"
2014,안산시,6350842,35,"철강, 전기전자"
2014,안성시,116403,2,"교통(여객), 기계, 비철금속, 유리, 집단에너지, 폐기물"
2014,안양시,2394670,8,"섬유, 비철금속, 집단에너지"
2014,양주시,534041,4,음식료품
2014,여주시,50581,1,"제지, 석유화학, 집단에너지"
2014,오산시,1351391,3,"석유화학, 전기전자, 제지, 폐기물"
2014,용인시,6473669,5,폐기물
2014,의정부시,88388,1,"폐기물, 유리, 반도체, 디스플레이"
2014,이천시,4488020,4,"반도체, 유리, 통신, 폐기물"
2014,파주시,4823291,6,"목재, 반도체, 반도체.디스플레이.전기전자, 비철금속, 석유화학, 섬유, 요업, 유리, 음식료품, 자동차, 제지, 집단에너지, 폐기물"
2014,평택시,2917486,21,발전에너지
2014,포천시,2550629,1,"제지, 집단에너지"
2014,하남시,1825488,2,"폐기물, 석유화학, 교통(여객)"
2014,화성시,891719,5,통계 업종
2013,고양시,247921,1,"석유화학, 섬유"
2013,과천시,698331,2,"발전에너지, 폐기물"
2013,광명시,155757,2,교통(여객)
2013,광주시,365878,2,폐기물
2013,구리시,81544,1,"제지, 자동차, 폐기물"
2013,군포시,131412,3,폐기물
2013,김포시,79074,1,"반도체.디스플레이.전기전자, 발전에너지, 비철금속, 음식료품, 조선, 철강, 통신, 폐기물"
2013,남양주시,348648,9,
2013,동두천시,2107264,0,
2013,부천시,337034,0,
2013,성남시,8294836,0,"건물, 반도체.디스플레이.전기전자, 석유화학, 폐기물"
2013,수원시,12085212,5,"반도체.디스플레이.전기전자, 비철금속, 석유화학, 유리 · 요업, 음식료품, 제지, 폐기물"
2013,시흥시,1423864,8,"기계, 반도체.디스플레이.전기전자, 발전에너지, 산업단지, 석유화학, 섬유, 유리 · 요업, 음식료품, 자동차, 제지, 폐기물"
2013,안산시,6350842,20,반도체.디스플레이.전기전자
2013,안성시,116403,1,"기계, 발전에너지, 비철금속, 유리 · 요업, 폐기물"
2013,안양시,2394670,6,"섬유, 비철금속, 발전에너지"
2013,양주시,534041,3,
2013,여주시,50581,0,"제지, 석유화학, 발전에너지"
2013,오산시,1351391,4,"반도체.디스플레이.전기전자, 석유화학, 제지, 폐기물"
2013,용인시,6473669,6,
2013,의정부시,88388,0,"반도체.디스플레이.전기전자, 유리 · 요업, 폐기물"
2013,이천시,4488020,4,"반도체.디스플레이.전기전자, 유리 · 요업, 폐기물"
2013,파주시,4823291,4,"목재, 비철금속, 유리 · 요업, 음식료품, 자동차, 제지, 폐기물"
2013,평택시,2917486,12,
2013,포천시,2550629,0,제지
2013,하남시,1825488,1,석유화학
2013,화성시,891719,1,통계 업종
2012,고양시,247921,1,"석유화학, 섬유"
2012,과천시,698331,2,"발전에너지, 폐기물"
2012,광명시,155757,2,교통(여객)
2012,광주시,365878,2,
2012,구리시,81544,0,제지
2012,군포시,131412,1,
2012,김포시,79074,0,
2012,남양주시,348648,0,
2012,동두천시,2107264,0,폐기물
